,LogTime,Epc,Rssi,Reader,Ant,TimeStamp,EmitPower,Frequency,Latency
0,2019-11-07-19:29:54,epc_4,-63,2xj6BqqmmTkptv2KxA,4,1573154994000,23.0,867500,150
1,2019-11-07-19:29:54,epc_85,-48,2xj6BqqmmTkptv2KxA,1,1573154994060,23.0,866300,90
2,2019-11-07-19:29:54,epc_83,-55,2xj6BqqmmTkptv2KxA,1,1573154994060,23.0,866300,90
3,2019-11-07-19:29:54,epc_84,-58,2xj6BqqmmTkptv2KxA,1,1573154994060,23.0,866300,90
4,2019-11-07-19:29:54,epc_82,-59,2xj6BqqmmTkptv2KxA,1,1573154994060,23.0,866300,90
5,2019-11-07-19:29:54,epc_89,-56,2xj6BqqmmTkptv2KxA,1,1573154994060,23.0,866300,90
6,2019-11-07-19:29:54,epc_86,-51,2xj6BqqmmTkptv2KxA,1,1573154994060,23.0,866300,90
7,2019-11-07-19:29:54,epc_81,-53,2xj6BqqmmTkptv2KxA,1,1573154994060,23.0,866300,90
8,2019-11-07-19:29:54,epc_81,-70,2xj6BqqmmTkptv2KxA,1,1573154994060,23.0,865700,90
9,2019-11-07-19:29:54,epc_86,-53,2xj6BqqmmTkptv2KxA,1,1573154994161,23.0,865700,189
10,2019-11-07-19:29:54,epc_89,-47,2xj6BqqmmTkptv2KxA,1,1573154994161,23.0,865700,189
11,2019-11-07-19:29:54,epc_83,-64,2xj6BqqmmTkptv2KxA,1,1573154994161,23.0,865700,189
12,2019-11-07-19:29:54,epc_84,-59,2xj6BqqmmTkptv2KxA,1,1573154994161,23.0,865700,189
13,2019-11-07-19:29:54,epc_88,-51,2xj6BqqmmTkptv2KxA,1,1573154994161,23.0,865700,189
14,2019-11-07-19:29:54,epc_85,-57,2xj6BqqmmTkptv2KxA,1,1573154994161,23.0,865700,189
15,2019-11-07-19:29:54,epc_25,-60,2xj6BqqmmTkptv2KxA,3,1573154994161,23.0,867500,189
16,2019-11-07-19:29:54,epc_16,-59,2xj6BqqmmTkptv2KxA,3,1573154994161,23.0,867500,189
17,2019-11-07-19:29:54,epc_193,-64,2xj6BqqmmTkptv2KxA,3,1573154994161,23.0,867500,189
18,2019-11-07-19:29:54,epc_3,-55,2xj6BqqmmTkptv2KxA,3,1573154994161,23.0,867500,189
19,2019-11-07-19:29:54,epc_37,-62,2xj6BqqmmTkptv2KxA,3,1573154994161,23.0,867500,189
20,2019-11-07-19:29:54,epc_30,-57,2xj6BqqmmTkptv2KxA,3,1573154994161,23.0,867500,189
21,2019-11-07-19:29:54,epc_4,-60,2xj6BqqmmTkptv2KxA,3,1573154994161,23.0,867500,189
22,2019-11-07-19:29:54,epc_23,-58,2xj6BqqmmTkptv2KxA,3,1573154994161,23.0,867500,189
23,2019-11-07-19:29:54,epc_89,-66,2xj6BqqmmTkptv2KxA,3,1573154994161,23.0,867500,189
24,2019-11-07-19:29:54,epc_18,-55,2xj6BqqmmTkptv2KxA,3,1573154994161,23.0,867500,189
25,2019-11-07-19:29:54,epc_24,-62,2xj6BqqmmTkptv2KxA,3,1573154994200,23.0,867500,150
26,2019-11-07-19:29:54,epc_80,-53,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866900,89
27,2019-11-07-19:29:54,epc_84,-50,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866900,89
28,2019-11-07-19:29:54,epc_82,-49,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866900,89
29,2019-11-07-19:29:54,epc_89,-51,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866900,89
30,2019-11-07-19:29:54,epc_81,-68,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866900,89
31,2019-11-07-19:29:54,epc_88,-58,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866900,89
32,2019-11-07-19:29:54,epc_87,-54,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866900,89
33,2019-11-07-19:29:54,epc_83,-51,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866900,89
34,2019-11-07-19:29:54,epc_87,-61,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866300,89
35,2019-11-07-19:29:54,epc_85,-58,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866300,89
36,2019-11-07-19:29:54,epc_86,-41,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866300,89
37,2019-11-07-19:29:54,epc_88,-60,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866300,89
38,2019-11-07-19:29:54,epc_83,-53,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866300,89
39,2019-11-07-19:29:54,epc_89,-56,2xj6BqqmmTkptv2KxA,1,1573154994261,23.0,866300,89
40,2019-11-07-19:29:54,epc_80,-53,2xj6BqqmmTkptv2KxA,1,1573154994281,23.0,866300,69
