,refListId,date,reason,quantity,quantityMatching,quantityMissing,quantityNotExpected,timestampStart,ciuchStart,timestampStop,ciuchStop,deltaStart
0,reflist_0,"07/11/2019 18:53:54,207",0,8,8,0,0,1573152820370,"07/11/2019 18:53:52,370",1573152834197,"07/11/2019 18:53:54,197","7,90"
1,reflist_1,"07/11/2019 18:54:04,471",0,10,10,0,0,1573152830637,"07/11/2019 18:54:02,637",1573152844463,"07/11/2019 18:54:04,463","10,27"
2,reflist_2,"07/11/2019 18:54:15,454",0,34,34,0,0,1573152841587,"07/11/2019 18:54:13,587",1573152855447,"07/11/2019 18:54:15,447","10,95"
3,reflist_3,"07/11/2019 18:54:19,643",0,10,10,0,0,1573152845942,"07/11/2019 18:54:17,942",1573152859591,"07/11/2019 18:54:19,591","4,36"
4,reflist_4,"07/11/2019 18:54:25,537",0,5,5,0,0,1573152851683,"07/11/2019 18:54:23,683",1573152865528,"07/11/2019 18:54:25,528","5,74"
5,reflist_5,"07/11/2019 18:54:31,291",201,40,39,1,0,1573152857422,"07/11/2019 18:54:29,422",1573152871278,"07/11/2019 18:54:31,278","5,74"
6,reflist_6,"07/11/2019 18:54:36,703",0,12,12,0,0,1573152862953,"07/11/2019 18:54:34,953",1573152876685,"07/11/2019 18:54:36,685","5,53"
7,reflist_7,"07/11/2019 18:54:42,620",0,10,10,0,0,1573152868829,"07/11/2019 18:54:40,829",1573152882611,"07/11/2019 18:54:42,611","5,88"
8,reflist_8,"07/11/2019 18:54:48,169",0,40,40,0,0,1573152874383,"07/11/2019 18:54:46,383",1573152888158,"07/11/2019 18:54:48,158","5,55"
9,reflist_9,"07/11/2019 18:54:54,061",0,8,8,0,0,1573152880122,"07/11/2019 18:54:52,122",1573152894051,"07/11/2019 18:54:54,051","5,74"
10,reflist_0,"07/11/2019 18:54:59,597",0,8,8,0,0,1573152885738,"07/11/2019 18:54:57,738",1573152899584,"07/11/2019 18:54:59,584","5,62"
11,reflist_1,"07/11/2019 18:55:05,703",0,10,10,0,0,1573152891946,"07/11/2019 18:55:03,946",1573152905694,"07/11/2019 18:55:05,694","6,21"
12,reflist_2,"07/11/2019 18:55:11,488",0,34,34,0,0,1573152897694,"07/11/2019 18:55:09,694",1573152911476,"07/11/2019 18:55:11,476","5,75"
13,reflist_3,"07/11/2019 18:55:17,284",0,10,10,0,0,1573152903429,"07/11/2019 18:55:15,429",1573152917273,"07/11/2019 18:55:17,273","5,74"
14,reflist_4,"07/11/2019 18:55:22,690",0,5,5,0,0,1573152908939,"07/11/2019 18:55:20,939",1573152922679,"07/11/2019 18:55:22,679","5,51"
15,reflist_5,"07/11/2019 18:55:28,934",201,40,39,1,0,1573152915046,"07/11/2019 18:55:27,046",1573152928923,"07/11/2019 18:55:28,923","6,11"
16,reflist_6,"07/11/2019 18:55:34,519",0,12,12,0,0,1573152920647,"07/11/2019 18:55:32,647",1573152934501,"07/11/2019 18:55:34,501","5,60"
17,reflist_7,"07/11/2019 18:55:40,367",0,10,10,0,0,1573152926514,"07/11/2019 18:55:38,514",1573152940360,"07/11/2019 18:55:40,360","5,87"
18,reflist_8,"07/11/2019 18:55:45,951",0,40,40,0,0,1573152932092,"07/11/2019 18:55:44,092",1573152945939,"07/11/2019 18:55:45,939","5,58"
19,reflist_9,"07/11/2019 18:55:51,436",0,8,8,0,0,1573152937632,"07/11/2019 18:55:49,632",1573152951424,"07/11/2019 18:55:51,424","5,54"
20,reflist_0,"07/11/2019 18:55:57,386",0,8,8,0,0,1573152943497,"07/11/2019 18:55:55,497",1573152957377,"07/11/2019 18:55:57,377","5,87"
21,reflist_1,"07/11/2019 18:56:03,590",0,10,10,0,0,1573152949758,"07/11/2019 18:56:01,758",1573152963581,"07/11/2019 18:56:03,581","6,26"
22,reflist_2,"07/11/2019 18:56:09,460",0,34,34,0,0,1573152955613,"07/11/2019 18:56:07,613",1573152969440,"07/11/2019 18:56:09,440","5,86"
23,reflist_3,"07/11/2019 18:56:15,077",0,10,10,0,0,1573152961043,"07/11/2019 18:56:13,043",1573152975066,"07/11/2019 18:56:15,066","5,43"
24,reflist_4,"07/11/2019 18:56:20,591",0,5,5,0,0,1573152966774,"07/11/2019 18:56:18,774",1573152980583,"07/11/2019 18:56:20,583","5,73"
25,reflist_5,"07/11/2019 18:56:26,459",201,40,39,1,0,1573152972592,"07/11/2019 18:56:24,592",1573152986445,"07/11/2019 18:56:26,445","5,82"
26,reflist_6,"07/11/2019 18:56:32,015",0,12,12,0,0,1573152978087,"07/11/2019 18:56:30,087",1573152992007,"07/11/2019 18:56:32,007","5,50"
27,reflist_7,"07/11/2019 18:56:37,940",0,10,10,0,0,1573152984032,"07/11/2019 18:56:36,032",1573152997930,"07/11/2019 18:56:37,930","5,95"
28,reflist_8,"07/11/2019 18:56:43,435",0,40,40,0,0,1573152989581,"07/11/2019 18:56:41,581",1573153003429,"07/11/2019 18:56:43,429","5,55"
29,reflist_9,"07/11/2019 18:56:49,298",0,8,8,0,0,1573152995424,"07/11/2019 18:56:47,424",1573153009290,"07/11/2019 18:56:49,290","5,84"
30,reflist_0,"07/11/2019 18:56:55,227",0,8,8,0,0,1573153001344,"07/11/2019 18:56:53,344",1573153015215,"07/11/2019 18:56:55,215","5,92"
31,reflist_1,"07/11/2019 18:57:01,143",0,10,10,0,0,1573153007268,"07/11/2019 18:56:59,268",1573153021137,"07/11/2019 18:57:01,137","5,92"
32,reflist_2,"07/11/2019 18:57:20,339",201,34,33,1,0,1573153026657,"07/11/2019 18:57:18,657",1573153040310,"07/11/2019 18:57:20,310","19,39"
33,reflist_3,"07/11/2019 18:57:26,604",0,10,10,0,0,1573153032778,"07/11/2019 18:57:24,778",1573153046595,"07/11/2019 18:57:26,595","6,12"
34,reflist_4,"07/11/2019 18:57:32,093",0,5,5,0,0,1573153038204,"07/11/2019 18:57:30,204",1573153052080,"07/11/2019 18:57:32,080","5,43"
35,reflist_5,"07/11/2019 18:57:38,030",0,40,40,0,0,1573153044122,"07/11/2019 18:57:36,122",1573153058019,"07/11/2019 18:57:38,019","5,92"
36,reflist_7,"07/11/2019 18:57:43,511",0,10,10,0,0,1573153049625,"07/11/2019 18:57:41,625",1573153063503,"07/11/2019 18:57:43,503","5,50"
37,reflist_6,"07/11/2019 18:57:49,128",0,12,12,0,0,1573153055222,"07/11/2019 18:57:47,222",1573153069117,"07/11/2019 18:57:49,117","5,60"
38,reflist_8,"07/11/2019 18:57:54,953",0,40,40,0,0,1573153061059,"07/11/2019 18:57:53,059",1573153074945,"07/11/2019 18:57:54,945","5,84"
39,reflist_9,"07/11/2019 18:58:00,440",0,8,8,0,0,1573153066672,"07/11/2019 18:57:58,672",1573153080430,"07/11/2019 18:58:00,430","5,61"
40,reflist_0,"07/11/2019 18:58:06,222",0,8,8,0,0,1573153072351,"07/11/2019 18:58:04,351",1573153086212,"07/11/2019 18:58:06,212","5,68"
41,reflist_1,"07/11/2019 18:58:18,440",0,10,10,0,0,1573153084644,"07/11/2019 18:58:16,644",1573153098431,"07/11/2019 18:58:18,431","12,29"
42,reflist_2,"07/11/2019 18:58:27,533",0,34,34,0,0,1573153093645,"07/11/2019 18:58:25,645",1573153107510,"07/11/2019 18:58:27,510","9,00"
43,reflist_3,"07/11/2019 18:58:32,602",0,10,10,0,0,1573153098896,"07/11/2019 18:58:30,896",1573153112593,"07/11/2019 18:58:32,593","5,25"
44,reflist_4,"07/11/2019 18:58:38,417",0,5,5,0,0,1573153104588,"07/11/2019 18:58:36,588",1573153118408,"07/11/2019 18:58:38,408","5,69"
45,reflist_5,"07/11/2019 18:58:45,950",0,40,40,0,0,1573153112015,"07/11/2019 18:58:44,015",1573153125940,"07/11/2019 18:58:45,940","7,43"
46,reflist_6,"07/11/2019 18:58:53,399",0,12,12,0,0,1573153119572,"07/11/2019 18:58:51,572",1573153133393,"07/11/2019 18:58:53,393","7,56"
47,reflist_7,"07/11/2019 18:58:57,919",0,10,10,0,0,1573153124193,"07/11/2019 18:58:56,193",1573153137909,"07/11/2019 18:58:57,909","4,62"
48,reflist_8,"07/11/2019 18:59:03,703",0,40,40,0,0,1573153129979,"07/11/2019 18:59:01,979",1573153143691,"07/11/2019 18:59:03,691","5,79"
49,reflist_9,"07/11/2019 18:59:09,729",0,8,8,0,0,1573153135991,"07/11/2019 18:59:07,991",1573153149722,"07/11/2019 18:59:09,722","6,01"
50,reflist_0,"07/11/2019 18:59:17,310",0,8,8,0,0,1573153143434,"07/11/2019 18:59:15,434",1573153157301,"07/11/2019 18:59:17,301","7,44"
51,reflist_1,"07/11/2019 18:59:23,201",0,10,10,0,0,1573153149421,"07/11/2019 18:59:21,421",1573153163191,"07/11/2019 18:59:23,191","5,99"
52,reflist_2,"07/11/2019 18:59:29,503",0,34,34,0,0,1573153155623,"07/11/2019 18:59:27,623",1573153169489,"07/11/2019 18:59:29,489","6,20"
53,reflist_3,"07/11/2019 18:59:35,047",0,10,10,0,0,1573153161146,"07/11/2019 18:59:33,146",1573153175037,"07/11/2019 18:59:35,037","5,52"
54,reflist_4,"07/11/2019 18:59:40,461",0,5,5,0,0,1573153166675,"07/11/2019 18:59:38,675",1573153180448,"07/11/2019 18:59:40,448","5,53"
55,reflist_5,"07/11/2019 18:59:46,443",0,40,40,0,0,1573153172576,"07/11/2019 18:59:44,576",1573153186433,"07/11/2019 18:59:46,433","5,90"
56,reflist_6,"07/11/2019 18:59:51,871",0,12,12,0,0,1573153178035,"07/11/2019 18:59:50,035",1573153191855,"07/11/2019 18:59:51,855","5,46"
57,reflist_7,"07/11/2019 18:59:57,648",0,10,10,0,0,1573153183874,"07/11/2019 18:59:55,874",1573153197637,"07/11/2019 18:59:57,637","5,84"
58,reflist_8,"07/11/2019 19:00:03,402",0,40,40,0,0,1573153189634,"07/11/2019 19:00:01,634",1573153203386,"07/11/2019 19:00:03,386","5,76"
59,reflist_9,"07/11/2019 19:00:09,532",0,8,8,0,0,1573153195406,"07/11/2019 19:00:07,406",1573153209497,"07/11/2019 19:00:09,497","5,77"
60,reflist_0,"07/11/2019 19:00:15,121",0,8,8,0,0,1573153201213,"07/11/2019 19:00:13,213",1573153215107,"07/11/2019 19:00:15,107","5,81"
61,reflist_1,"07/11/2019 19:00:21,195",0,10,10,0,0,1573153207240,"07/11/2019 19:00:19,240",1573153221185,"07/11/2019 19:00:21,185","6,03"
62,reflist_2,"07/11/2019 19:00:26,612",0,34,34,0,0,1573153212786,"07/11/2019 19:00:24,786",1573153226606,"07/11/2019 19:00:26,606","5,55"
63,reflist_3,"07/11/2019 19:00:33,368",0,10,10,0,0,1573153219572,"07/11/2019 19:00:31,572",1573153233357,"07/11/2019 19:00:33,357","6,79"
64,reflist_4,"07/11/2019 19:00:37,879",0,5,5,0,0,1573153224156,"07/11/2019 19:00:36,156",1573153237857,"07/11/2019 19:00:37,857","4,58"
65,reflist_5,"07/11/2019 19:00:43,713",0,40,40,0,0,1573153230013,"07/11/2019 19:00:42,013",1573153243706,"07/11/2019 19:00:43,706","5,86"
66,reflist_6,"07/11/2019 19:00:49,557",0,12,12,0,0,1573153235679,"07/11/2019 19:00:47,679",1573153249543,"07/11/2019 19:00:49,543","5,67"
67,reflist_7,"07/11/2019 19:00:55,439",0,10,10,0,0,1573153241579,"07/11/2019 19:00:53,579",1573153255430,"07/11/2019 19:00:55,430","5,90"
68,reflist_8,"07/11/2019 19:01:00,881",0,40,40,0,0,1573153247053,"07/11/2019 19:00:59,053",1573153260873,"07/11/2019 19:01:00,873","5,47"
69,reflist_9,"07/11/2019 19:01:06,478",0,8,8,0,0,1573153252604,"07/11/2019 19:01:04,604",1573153266467,"07/11/2019 19:01:06,467","5,55"
70,reflist_0,"07/11/2019 19:01:12,319",0,8,8,0,0,1573153258422,"07/11/2019 19:01:10,422",1573153272311,"07/11/2019 19:01:12,311","5,82"
71,reflist_1,"07/11/2019 19:01:18,165",0,10,10,0,0,1573153264378,"07/11/2019 19:01:16,378",1573153278159,"07/11/2019 19:01:18,159","5,96"
72,reflist_2,"07/11/2019 19:01:24,939",0,34,34,0,0,1573153271042,"07/11/2019 19:01:23,042",1573153284925,"07/11/2019 19:01:24,925","6,66"
73,reflist_3,"07/11/2019 19:01:29,873",0,10,10,0,0,1573153276137,"07/11/2019 19:01:28,137",1573153289849,"07/11/2019 19:01:29,849","5,10"
74,reflist_4,"07/11/2019 19:01:35,420",0,5,5,0,0,1573153281529,"07/11/2019 19:01:33,529",1573153295396,"07/11/2019 19:01:35,396","5,39"
75,reflist_5,"07/11/2019 19:01:41,338",0,40,40,0,0,1573153287403,"07/11/2019 19:01:39,403",1573153301318,"07/11/2019 19:01:41,318","5,87"
76,reflist_6,"07/11/2019 19:01:46,920",0,12,12,0,0,1573153293059,"07/11/2019 19:01:45,059",1573153306912,"07/11/2019 19:01:46,912","5,66"
77,reflist_7,"07/11/2019 19:01:52,645",0,10,10,0,0,1573153298894,"07/11/2019 19:01:50,894",1573153312631,"07/11/2019 19:01:52,631","5,84"
78,reflist_8,"07/11/2019 19:01:58,720",0,40,40,0,0,1573153304978,"07/11/2019 19:01:56,978",1573153318709,"07/11/2019 19:01:58,709","6,08"
79,reflist_9,"07/11/2019 19:02:04,100",0,8,8,0,0,1573153310353,"07/11/2019 19:02:02,353",1573153324087,"07/11/2019 19:02:04,087","5,38"
80,reflist_0,"07/11/2019 19:02:10,102",0,8,8,0,0,1573153316207,"07/11/2019 19:02:08,207",1573153330091,"07/11/2019 19:02:10,091","5,85"
81,reflist_1,"07/11/2019 19:02:16,029",0,10,10,0,0,1573153322094,"07/11/2019 19:02:14,094",1573153336016,"07/11/2019 19:02:16,016","5,89"
82,reflist_2,"07/11/2019 19:02:38,632",0,34,34,0,0,1573153344773,"07/11/2019 19:02:36,773",1573153358599,"07/11/2019 19:02:38,599","22,68"
83,reflist_3,"07/11/2019 19:02:43,241",0,10,10,0,0,1573153349420,"07/11/2019 19:02:41,420",1573153363231,"07/11/2019 19:02:43,231","4,65"
84,reflist_4,"07/11/2019 19:02:48,310",0,5,5,0,0,1573153354539,"07/11/2019 19:02:46,539",1573153368297,"07/11/2019 19:02:48,297","5,12"
